pods,1,2,4,8,16,32
1,1.210754054,1.07466154,1.015911985,0.990086434,0.96883608,0.965916321
2,1.302374195,0.882770702,0.648522336,0.567662774,0.50558925,0.511282086
3,1.299420508,0.772326633,0.544183234,0.417940905,0.386723367,0.385585282
